SNe Name,SNe Type,Galaxy,SNe Ra,SNe Dec,Discovery Date
PTSS-19clju,Unclassified,ngc4321,185.73407,15.826055,2019/05/04
SN1901B,I,ngc4321,185.6970833333333,15.82375,1901/03/17
SN1914A,Unclassified,ngc4321,185.73604166666667,15.791805555555555,1914/03/02
SN1959E,I,ngc4321,185.74543194444445,15.816989814814816,1959/02/21
SN1979C,II,ngc4321,185.74422222222222,15.797765277777778,1979/04/19
SN2006X,Ia,ngc4321,185.72488194444443,15.809006481481482,2006/02/04
SN2019ehk,Ib,ngc4321,185.73393055555553,15.826070370370369,2019/04/29
SN2020oi,Ic,ngc4321,185.72892708333336,15.8236125,2020/01/07
SN1895A,Unclassified,ngc4424,186.82083333333333,9.417499999999999,1895/03/16
SN2012cg,Ia,ngc4424,186.80345833333334,9.420333333333332,2012/05/17
SN2020nvb,Ia,ngc4457,187.24497916666667,3.5727913888888887,2020/07/01
SN1960F,Ia,ngc4496a,187.92522222222223,3.9466111111111113,1960/04/17
SN1988M,II,ngc4496a,187.92059375000002,3.922786666666666,1988/04/07
AT2020qwi,Candidate,ngc4535,188.45333333333335,8.166277777777777,2020/08/06
SN1981B,Ia,ngc4536,188.62307291666667,2.199767361111111,1981/03/02
SN2001Z,II,ngc4540,188.73279166666669,15.56875,2001/03/03
AT2021qee,Candidate,ngc4565,189.08716666666666,25.994158333333335,2021/06/16
SN2016inu,Ia,ngc4565,189.18002083333334,26.113509722222226,2016/11/14
AT2021dgs,Candidate,ngc4569,189.20860833333333,13.27838888888889,2021/02/16
COVET-090220F,Unclassified,ngc4569,189.07716666666667,13.247194444444444,2009/02/19
PTF13bdl,Unclassified,ngc4569,189.23391666666666,13.129305555555556,2013/04/05
PSNJ12364391+1416186,Unclassified,ngc4571,189.18291666666667,14.271833333333333,2011/03/01
SN1988A,II,ngc4579,189.431478125,11.805427222222223,1988/01/16
SN1989M,Ia,ngc4579,189.4196111111111,11.823748333333334,1989/06/28
AT2020inm,Candidate,ngc4594,189.9353416666667,-11.638036111111111,2020/04/26
SN1997bl,Ia,ngc4594,190.08749999999998,-11.744167592592591,1997/03/07
AT2020aaa,Candidate,ngc4631,190.43603333333334,32.53315277777778,2020/01/04
AT2019txw,Candidate,ngc4826,194.12054166666667,21.70208611111111,2019/06/02
AT2021qyz,Candidate,ngc4826,194.16090416666668,21.696575,2021/06/26
AT2021ray,Candidate,ngc4826,194.2263,21.682011111111112,2021/06/26
SN2005af,II P,ngc4945,196.18358125,-49.56661111111111,2005/02/08
SN2011ja,II P,ngc4945,196.29627777777782,-49.52418055555555,2011/12/18
AT2018bqb,removed,ngc5055,198.91337499999997,42.094369444444446,2018/05/13
AT2021lcz,Candidate,ngc5055,198.98637083333332,41.92326666666666,2021/05/01
PSNJ13155125+4201373,Unclassified,ngc5055,198.96354166666669,42.027027777777775,2013/05/05
SN1971I,Ia,ngc5055,198.95675,41.98986111111111,1971/05/24
SN2017dfc,Ia,ngc5055,198.93179166666664,42.037075,2017/04/09
AT2020nqq,LRN,ngc5128,201.43510416666666,-43.00358055555556,2020/06/27
SN1986G,Ia-91bg,ngc5128,201.40205416666663,-43.03167777777777,1986/05/03
SN2016adj,IIb,ngc5128,201.35047708333332,-43.01602777777778,2016/02/08
AT2020jsb,Candidate,ngc5194,202.471675,47.223308333333335,2020/04/29
SN1945A,I,ngc5194,202.49129166666665,47.269729166666664,1945/04/08
SN1994I,Ic,ngc5194,202.47516874999997,47.19197222222222,1994/04/02
SN2005cs,II,ngc5194,202.4708347222222,47.175943518518515,2005/06/28
SN2011dh,IIb,ngc5194,202.52131874999998,47.16977064814815,2011/06/01
iPTF13ix,Unclassified,ngc5194,202.64953333333332,47.32054444444445,2013/04/11
iPTF13iz,Unclassified,ngc5194,202.68979166666665,47.041108333333334,2013/04/12
iPTF13ja,Unclassified,ngc5194,202.66530833333334,47.024252777777775,2013/04/12
iPTF13jb,Unclassified,ngc5194,202.7308833333333,47.01687777777778,2013/04/12
AT2018eoq,Candidate,ngc5236,204.25008333333332,-29.864563888888892,2018/08/01
PSNJ13371970-2953486,Unclassified,ngc5236,204.33208333333334,-29.896833333333333,2013/01/17
SN1923A,II,ngc5236,204.28833333333333,-29.83888888888889,1923/05/05
SN1945B,Unclassified,ngc5236,204.22042708333333,-29.979222222222223,1945/07/13
SN1950B,Unclassified,ngc5236,204.22029166666667,-29.865520833333335,1950/03/15
SN1957D,Unclassified,ngc5236,204.2646875,-29.828027777777777,1957/12/01
SN1968L,II,ngc5236,204.25200138888889,-29.866462962962967,1968/07/17
SN1983N,Ib,ngc5236,204.2134583333333,-29.90061111111111,1983/07/03
Gaia14aah,Unclassified,ngc5457,210.4531875,54.51330277777778,2014/08/26
PTF10hv,II,ngc5457,210.98408333333336,54.45863888888889,2010/01/01
SN1909A,II,ngc5457,210.51228472222223,54.4663824074074,1909/01/26
SN1951H,II,ngc5457,210.9771666666667,54.36161333333333,1951/09/01
SN1970G,II,ngc5457,210.7536388888889,54.24242777777778,1970/07/30
SN1975G,Ia,ngc5457,210.32507291666667,54.4234375,1975/06/11
SN2011fe,Ia,ngc5457,210.77404270833335,54.273697222222225,2011/08/24
SN2007it,II P,ngc5530,214.60670833333336,-43.381652777777774,2007/09/13
SN2013aa,Ia,ngc5643,218.14116666666666,-44.22438888888889,2013/02/13
SN2017cbv,Ia,ngc5643,218.14341666666667,-44.13409444444444,2017/03/10
GRB940118,LGRB,ngc6744,287.7,-63.94,1994/01/18
Gaia21cum,Unclassified,ngc6744,287.049,-63.725300000000004,2014/11/19
SN2005at,Ic,ngc6744,287.4732777777778,-63.82312037037037,2005/03/05
SN1917A,II,ngc6946,308.6954166666667,60.124861111111116,1917/07/19
SN1939C,I,ngc6946,308.5979270833333,60.15982638888889,1939/07/17
SN1948B,II,ngc6946,308.84095833333333,60.17108333333333,1948/07/06
SN1968D,II,ngc6946,308.74322416666666,60.15957916666667,1968/02/29
SN1969P,Unclassified,ngc6946,308.71483333333333,60.104,1969/12/11
SN1980K,II,ngc6946,308.8752916666666,60.106600694444445,1980/10/28
SN2002hh,II,ngc6946,308.68454166666663,60.12194166666667,2002/10/31
SN2004et,II,ngc6946,308.8555833333333,60.12158611111111,2004/09/27
SN2008S,IIn-pec/LBV,ngc6946,308.68895833333335,60.09938888888889,2008/02/01
SN2017eaw,II P,ngc6946,308.68416249999996,60.19331666666666,2017/05/14
SN2008bk,II P,ngc7793,359.4540020833333,-32.55632083333333,2008/03/25
